id,pres1_jenjang,pres2_jenjang,pres3_jenjang,juara_pres1,juara_pres2,juara_pres3
21155,Internasional,Nasional,Nasional,Juara 1,,
21156,Nasional,Nasional,,,,
21158,,,,,,
21160,,,,,,
21161,Kabupaten/Kota,Nasional,Nasional,Juara 3,,
21162,Nasional,Nasional,,Medali Perak,Medali Perak,
21164,Nasional,,,,,
21166,,,,,,
21167,,,,,,
21168,,,,,,
21170,Propinsi,Propinsi,Propinsi,,,
21172,Nasional,Nasional,Nasional,,,
21173,,,,,,
21174,Nasional,Nasional,Nasional,Juara 2,Juara 1,Juara 1
21178,,,,,,
21180,Propinsi,,,Juara 3,,
21181,Nasional,Nasional,Kabupaten/Kota,,,
21186,,,,,,
21187,Kabupaten/Kota,,,Juara 3,,
21188,Nasional,Nasional,Nasional,Medali Emas,,
21190,Nasional,Kabupaten/Kota,,,,
21191,Nasional,Nasional,Nasional,Medali Perak,,
21194,,,,,,
21196,,,,,,
21197,Nasional,Nasional,Nasional,,Medali Perak,
21201,,,,,,
21202,,,,,,
21203,Nasional,Nasional,,Juara 3,,
21204,,,,,,
21206,,,,,,
21207,,,,,,
21210,Internasional,Internasional,,,,
21211,,,,,,
21214,Propinsi,,,Juara 3,,
21216,,,,,,
21218,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 2,Juara 2,
21219,Nasional,Nasional,Nasional,Juara 2,Medali Emas,Medali Perunggu
21220,Kabupaten/Kota,Kabupaten/Kota,,Juara 3,,
21221,Nasional,Internasional,Nasional,Medali Perunggu,Juara 1,Juara 1
21222,Nasional,Kabupaten/Kota,,,,
21223,,,,,,
21224,,,,,,
21225,,,,,,
21226,Propinsi,,,Juara 2,,
21227,,,,,,
21228,,,,,,
21229,,,,,,
21231,Kabupaten/Kota,,,Juara 3,,
21232,,,,,,
21235,Nasional,Internasional,Nasional,,Medali Perak,
21236,,,,,,
21238,Nasional,Nasional,Propinsi,,,
21240,,,,,,
21241,,,,,,
21242,Nasional,Internasional,Nasional,Juara 1,Juara 1,Juara 3
21243,Kabupaten/Kota,Nasional,Nasional,Juara 2,,
21245,,,,,,
21248,,,,,,
21249,,,,,,
21250,,,,,,
21252,,,,,,
21253,Kabupaten/Kota,Kabupaten/Kota,Propinsi,Juara 2,Juara 1,Juara 3
21254,Nasional,Nasional,Nasional,,,
21256,,,,,,
21259,,,,,,
21260,,,,,,
21264,,,,,,
